term_a,term_b,co_doc_count,pmi,tscore,score
教,没,3,0.8113976151502645,0.962610168443264,0.5218786779462897
教,里,3,0.8113976151502645,0.962610168443264,0.5218786779462897
历史,没,3,0.8113976151502645,0.962610168443264,0.5218786779462897
历史,里,3,0.8113976151502645,0.962610168443264,0.5218786779462897
中世纪,没,3,0.8113976151502645,0.962610168443264,0.5218786779462897
信徒,新教,3,0.808596492870554,0.9604518496799382,0.5215746487898483
中国,美国,3,0.808596492870554,0.9604518496799382,0.5215746487898483
佛教,里,4,0.8005866990460537,1.1018691588785048,0.5273428260766099
基督,爱,3,0.7988538966717399,0.9528977340082982,0.5205150782798599
基督徒,邪教,4,0.7953972738038305,1.097196261682243,0.5267492470513622
基督教,迷信,4,0.7933290207397724,1.0953271028037384,0.5265123708420112
教会,笑话,3,0.7857818151043929,0.9426457198825012,0.5190881735566706
佛教,说,9,0.7828242427062213,1.6286604361370716,0.5497219142346044
基督教,是因为,5,0.7753105152371024,1.2062228379559612,0.5301683958853336
圣经,问,6,0.7749047534137226,1.3208930669027046,0.5352955006748535
信,回复,3,0.772878410268491,0.9323937057567041,0.5176737316209838
回复,基督,4,0.772878410268491,1.0766355140186916,0.5241607443176031
新教,更,3,0.7708561648877242,0.9307749666842098,0.5174515168933729
说,邪教,6,0.7668239013597877,1.311736095901646,0.5342866236870815
是因为,说,4,0.7668239013597877,1.0710280373831775,0.5234612170272335
上帝,出,5,0.7648138504317644,1.1953559655419437,0.528904125334368
上帝,真的,6,0.7648138504317644,1.3094468531513812,0.5340351552722812
上帝,红领巾,3,0.7648138504317644,0.9259187494667269,0.5167866771223557
上帝,耶稣基督,3,0.7648138504317644,0.9259187494667269,0.5167866771223557
基督教,罗马,6,0.763476057590105,1.3079206913178714,0.5338676752482772
信,想,4,0.7633089592523448,1.0677570093457944,0.523054404765541
信仰,教义,4,0.7618063293678106,1.066355140186916,0.5228803354885988
宗教,文化,3,0.7475606022842131,0.91188967750511,0.5148809779500706
回复,基督教,9,0.7440579717330127,1.5744548286604363,0.5444198451656969
圣经,文化,4,0.7410032017380571,1.046728971962617,0.5204606320012664
圣经,天堂,3,0.7410032017380571,0.9064938805967956,0.5141538141017755
耶稣,高,3,0.7410032017380571,0.9064938805967956,0.5141538141017755
加尔文,说,3,0.7203038857249169,0.88922733049019,0.5118479003302533
说,迷信,3,0.7203038857249169,0.88922733049019,0.5118479003302533
上帝,信仰,17,0.7076554365918433,2.0912464267151476,0.5649719818898894
传统,基督教,3,0.7063176437501838,0.8773565772918986,0.5102806524419369
基督教,宗教信仰,3,0.7063176437501838,0.8773565772918986,0.5102806524419369
基督教,张角,3,0.7063176437501838,0.8773565772918986,0.5102806524419369
基督教,好像,3,0.7063176437501838,0.8773565772918986,0.5102806524419369
基督教,组织,4,0.7063176437501838,1.0130841121495329,0.5163847511946584
东正教,基督教,4,0.7063176437501838,1.0130841121495329,0.5163847511946584
传教,基督教,6,0.7063176437501838,1.2407695706434418,0.5266244901294537
