lang,topic,n_docs,bias_harm,z_harm,bias_fairness,z_fairness,bias_loyalty,z_loyalty,bias_authority,z_authority,bias_sanctity,z_sanctity,bias_realistic_threat,z_realistic_threat,bias_symbolic_threat,z_symbolic_threat,topic_label,topic_short,row_label,dominant_negative_axis,dominant_negative_z,dominant_negative_axis_label,dominant_negative_raw_bias,pc1,pc2
zh,25,4,0.17416025000000002,-0.11326542424120922,0.1733425,-0.45002652559891165,0.0876585,-0.8755483081134972,0.102042,-0.6532130486352012,0.143295,-1.111660181912156,-0.0352165,-1.108357339756998,-0.04375,0.12192129166606919,Social Division and Racial Antagonism,Social Division and Racial A…,ZH · T25 · Social Division and Racial A…,sanctity,-1.111660181912156,Sanctity,0.143295,,
zh,0,4,0.18181,0.25078106942475364,0.18278125,0.05906082549782554,0.11451325,0.2784783337090936,0.1309455,0.5836732460555103,0.17100175,0.13076728826338713,-0.035208249999999996,-1.1079589013854225,-0.03688225,0.39050258884372413,Separation of Church & State / Japan,Separation of Church & State…,ZH · T0 · Separation of Church & State…,realistic_threat,-1.1079589013854225,Realistic Threat,-0.035208249999999996,,
zh,17,16,0.1539415625,-1.0754592594518813,0.1635145,-0.9801084206145363,0.0887711875,-0.8277328929998591,0.0919789375,-1.0838482343001223,0.145467875,-1.0142240124134714,-0.0161456875,-0.18732176677260728,-0.0502003125,-0.1303350220394735,Pagan-Christian Conflicts,Pagan-Christian Conflicts,ZH · T17 · Pagan-Christian Conflicts,authority,-1.0838482343001223,Authority,0.0919789375,-2.137610110960412,0.4216618954786528
zh,28,15,0.17020126666666666,-0.30167079709417677,0.178483,-0.1727690997413802,0.08822413333333333,-0.8512414001672463,0.1088534,-0.36172837350394343,0.1625113333333333,-0.24996040083414087,-0.020551866666666665,-0.4001206579285409,-0.07269206666666667,-1.0099338003706961,Burke vs. Pope Francis,Burke vs. Pope Francis,ZH · T28 · Burke vs. Pope Francis,symbolic_threat,-1.0099338003706961,Symbolic Threat,-0.07269206666666667,-1.168051768328988,-0.7679416509159324
zh,43,21,0.20548428571428573,1.3774245158552796,0.1989295714285714,0.9300348613320298,0.13077914285714284,0.9774710150848145,0.16044395238095238,1.8460197253603206,0.1937452857142857,1.1506340550385272,-0.03175523809523809,-0.9411937570988691,-0.034427238095238094,0.4865122400348037,Missionaries and Confucianism,Missionaries and Confucianis…,ZH · T43 · Missionaries and Confucianis…,realistic_threat,-0.9411937570988691,Realistic Threat,-0.03175523809523809,2.704609089674696,-1.2991542493120782
zh,4,112,0.15703604464285714,-0.9281949209023758,0.16809248214285713,-0.7331908941968109,0.10054882142857144,-0.3216137397325566,0.10816339285714285,-0.391256298434789,0.15102166964285715,-0.7651804750805296,-0.01105100892857143,0.05872858882744968,-0.04450375,0.09244392968468418,"Religion, Sexuality, and Violence","Religion, Sexuality, and Vio…","ZH · T4 · Religion, Sexuality, and Vio…",harm,-0.9281949209023758,Harm,0.15703604464285714,-1.264170211135245,0.5529879364755681
zh,6,39,0.16790274358974358,-0.41105597527178345,0.17830607692307693,-0.18231160278242395,0.08846392307692308,-0.8409369381060328,0.11309558974358974,-0.18018958569887972,0.1540318717948718,-0.6301968395244091,-0.02181328205128205,-0.46104142056204467,-0.06165428205128206,-0.5782724105461451,Church Abuse Victims,Church Abuse Victims,ZH · T6 · Church Abuse Victims,loyalty,-0.8409369381060328,Loyalty,0.08846392307692308,-1.16876208791782,-0.5052539886373826
zh,27,9,0.17464066666666667,-0.09040271591757937,0.17631444444444444,-0.28973206660498896,0.10485033333333332,-0.1367652738852753,0.09810911111111112,-0.8215157235779607,0.15459877777777778,-0.6047756130662624,-0.0069366666666666665,0.25743305318350923,-0.04274611111111112,0.1611809880731912,Bakery and Religious Freedom Legal Conflicts,Bakery and Religious Freedom…,ZH · T27 · Bakery and Religious Freedom…,authority,-0.8215157235779607,Authority,0.09810911111111112,-0.6910467974192931,0.47480206943643805
zh,11,17,0.15960182352941177,-0.8060912172293971,0.18252188235294117,0.045071601458479965,0.09484564705882353,-0.5666957146401181,0.09924858823529412,-0.7727533370844375,0.16189441176470587,-0.27762442869040455,-0.020427764705882354,-0.3941270842116651,-0.05851741176470588,-0.45559690682998344,2017 Pakistan Religious Violence,2017 Pakistan Religious Viol…,ZH · T11 · 2017 Pakistan Religious Viol…,harm,-0.8060912172293971,Harm,0.15960182352941177,-1.1932375457613582,-0.22246915418393498
zh,15,5,0.16068480000000002,-0.7545530902526478,0.1675236,-0.7638740570301713,0.1023846,-0.24272500012725065,0.11106919999999998,-0.2669062013872214,0.158116,-0.44705615814640487,0.0017512,0.6770184407146027,-0.0321278,0.5764377711619944,Authenticity and Faith in Catholicism,Authenticity and Faith in Ca…,ZH · T15 · Authenticity and Faith in Ca…,fairness,-0.7638740570301713,Fairness,0.1675236,-0.7622280634076501,1.1773761449852964
